@relation Workflow-Workflow

@attribute 'Function Name' {'Adjust Image (Simple)','Background Correct (Calibrated)','CTC Single Cell Colocalization','CTC Single Cell Quantification','Crop Points','Export Multiple Table Files','Find Image Alignments','Find Maxima Segmentation','Image Calculator','Image Filters','Split Image','Stitch 2 Dims Using Alignments','Threshold Background Noise'}
@attribute 'Info Type' {__Inputs__,__Outputs__,__Parameters__,__SavingSelections__}
@attribute Key {0,1,2,3,'Artificial BG Level','BG Sub. Paraboloid','BG Sub. Presmooth Radius','BG Sub. Radius','Color Dim Name','Color Dim Value','Dim to Split','Est. BG sigma','Exclude Maximima on Edges?','Exclude Segments on Edges?','File 1','File 2','File 3','File 4','File 5','File Extension','Filter Type','Folder Path',Gamma,Height,'Horizontal Image Alignment','Horizontal Overlap \%','IF-DF Radius','ImCol Dim Name','ImRow Dim Name',Image,'Image A','Image B','Image Col Dim Name','Image Row Dim Name','Image Set','Image To Quantify','Image-DF Radius',Images,'Intensity Multiplier','Is EDM?','Keep Dim?','Mask Image','Math Operation',Maxima,'Maxima Color Dim Value','Median Filter Radius',Method,'New Max','New Min','Nominal Value to Add Back','Normalize Intensities Fit Bit Depth','Number of Sigma','Old Max','Old Min','Output Bit Depth','Output Bit-Depth','Output Maxima Only?','Particles Are White?','Pre-Despeckle Radius','Pre-Smoothing Radius',Radius,Scale,'Segmentation Color Dim Value','Segmented Image','Single Threshold per Color?',Threshold,Tolerance,'Vertical Image Alignment','Vertical Overlap \%',Width,'Window Offset'}
@attribute 'Workflow Index' {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18}
@attribute Metadata {Value}
@attribute Value string

@data
'Adjust Image (Simple)',__Inputs__,Image,15,Value,'Image,Segmented Image,0'
'Adjust Image (Simple)',__Outputs__,0,15,Value,'Image,Segmented Image (0-1),0'
'Adjust Image (Simple)',__Parameters__,Gamma,15,Value,1.0
'Adjust Image (Simple)',__Parameters__,'New Max',15,Value,1
'Adjust Image (Simple)',__Parameters__,'New Min',15,Value,0.0
'Adjust Image (Simple)',__Parameters__,'Old Max',15,Value,255
'Adjust Image (Simple)',__Parameters__,'Old Min',15,Value,0.0
'Adjust Image (Simple)',__Parameters__,'Output Bit Depth',15,Value,16
'Adjust Image (Simple)',__SavingSelections__,0,15,Value,true
'Background Correct (Calibrated)',__Inputs__,Images,0,Value,'Image,RAW,0'
'Background Correct (Calibrated)',__Outputs__,0,0,Value,'Image,RAW (BG),0'
'Background Correct (Calibrated)',__Parameters__,'BG Sub. Paraboloid',0,Value,true
'Background Correct (Calibrated)',__Parameters__,'BG Sub. Presmooth Radius',0,Value,25
'Background Correct (Calibrated)',__Parameters__,'BG Sub. Radius',0,Value,150
'Background Correct (Calibrated)',__Parameters__,'Est. BG sigma',0,Value,50
'Background Correct (Calibrated)',__Parameters__,'IF-DF Radius',0,Value,0
'Background Correct (Calibrated)',__Parameters__,'Image-DF Radius',0,Value,0
'Background Correct (Calibrated)',__Parameters__,'Nominal Value to Add Back',0,Value,100
'Background Correct (Calibrated)',__Parameters__,'Output Bit Depth',0,Value,16
'Background Correct (Calibrated)',__SavingSelections__,0,0,Value,true
'CTC Single Cell Colocalization',__Inputs__,'Image To Quantify',14,Value,'Image,FINAL,0'
